,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
0,'Fran Silva,2014-09-03 09:03:05,"O PRESIDENTE LULA NA ÉPOCA AFIRMOU, APÓS A TRAGÉDIA (2003) OCORRIDA NO CLA, QUE EM NO MÁXIMO 4 ANOS (2007)SERIA LANÇADO O VLS. SÓ QUE ATÉ AGORA ISSO NUNCA FOI REALIDADE... A BASE DE LANÇAMENTO FOI RECONSTRUÍDA SOMENTE EM 2012... OU SEJA. QUASE 10 ANOS APÓS A TRAGÉDIA OCORRIDA NO CENTRO.",4,4,"Brasil detém tecnologia própria para operar veículos espaciais, diz CLA",CLA;;;;;',2014,9,3,0
1,'Fran Silva,2014-09-03 09:03:05,"O PRESIDENTE LULA NA ÉPOCA AFIRMOU, APÓS A TRAGÉDIA (2003) OCORRIDA NO CLA, QUE EM NO MÁXIMO 4 ANOS (2007)SERIA LANÇADO O VLS. SÓ QUE ATÉ AGORA ISSO NUNCA FOI REALIDADE... A BASE DE LANÇAMENTO FOI RECONSTRUÍDA SOMENTE EM 2012... OU SEJA. QUASE 10 ANOS APÓS A TRAGÉDIA OCORRIDA NO CENTRO.",4,4,"Brasil detém tecnologia própria para operar veículos espaciais, diz CLA",CLA;;;;;',2014,9,3,0
2,'Luh Dahora,2013-04-03 11:45:07,Muito loko esse carro.,0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,4,3,0
3,'Patrick Mello,2013-03-22 20:06:56,"Laércio Dantas, não é tração dianteira, mas tração nas 4 rodas.No fundo, todas elas estão se convencendo de que esse sistema é o melhor para os ""pilotos de fim de semana"" que andam pelas cidades e trackdays por aí.Nisso, a Audi já está anos-luz à frente, com a Quattro.Até a Ferrari lançou a FF.Cansaram de tomar pau dos RS4 e RS6 mas largadas.Tração traseira mata muita gente, pois poucos sabem usá-la.Ainda mais se o carro for realmente forte.Esse caminho era inevitável...",1,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,3,22,-1
4,'Laercio Dantas,2013-01-18 19:25:59,"Será um excelente carro pra quem está acostumado com os asiáticos, mas Mercedes com tração dianteira não engulo.",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,18,1
5,'Luiz Farias,2013-01-14 10:49:43,Joven$ de cora$ão!!!!,0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,14,0
6,'Rafael Alegreti,2013-01-14 06:40:39,"Eu ouvi comentários que ele chegaria aqui por 90 mil mesmo, inclusive li uma matéria em outubro passado sobre isso. Se realmente chegar nesse preço, vai roubar muito cliente de outras marcas. Agora se quiser lançar com aquele ágio já conhecido aqui no Brasil, não ponho muita fé.",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,14,1
7,'Simijumurukai,2013-01-15 19:04:52,"acorda,estamos no país do futebol e das novelas ,vixiiiiiiiiiiiiiiiiiii",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,15,0
8,'Jotta Santos,2013-03-23 09:52:35,90 mil é o preço que vão cobrar pelo estepe.,0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,3,23,-1
9,'Carlos Romano,2013-01-14 01:34:28,"VAMOS VER SE ELES BAIXAM A BOLA....NO CASO DO CLASSE A (UM FIASCO TOTAL) ELES ACHARAM QUE ERA SÓ COLOCAR A ESTRELINHA DELES E QUE IRIA FORMAR UMA FILA (DO TERCEIRO MUNDO) QUERENDO SER UNGIDO PELA ESTRELINHA....RESULTADO: ACIDENTE NOS TESTES, FIASCO TOTAL E A FÁBRICA DE JUIZ DE FORA SÓ COLHENDO RESULTADO NEGATIVO COM O CLASSE A.O MUNDO MUDOU DONA MERCEDES BENZ! MAIS RESPEITO E MENOS ARROGÂNCIA!",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,14,0
